question,predicted_disease
I've been dealing with muscle pain for a week now. What should I do?,Fibromyalgia
"Whenever I sitting for long hours, I experience body aches. Is this a medical condition?",Fibromyalgia
Could chills be related to alcohol consumption?,Sepsis
"Recently, I noticed rash, and it's getting worse. Should I be concerned?",Eczema
"Whenever I walking, I experience muscle pain. Is this a medical condition?",Fibromyalgia
"Whenever I exercising, I experience headache. Is this a medical condition?",Hypertension
Can excessive thirst be a sign of something serious?,Dehydration
"Whenever I exercising, I experience blurred vision. Is this a medical condition?",Retinal detachment
Is it normal to have blurred vision along with nausea?,Stroke
Experiencing confusion along with mild discomfort. Do I need to see a doctor?,Alzheimers
Is it normal to have cough along with dizziness?,Asthma
"Whenever I sitting for long hours, I experience joint pain. Is this a medical condition?",Gout
I've had bloating since last night. Could it be due to seasonal changes?,IBS
I've been dealing with headache for a week now. What should I do?,Meningitis
Could joint pain be related to lack of exercise?,Rheumatoid arthritis
I've been dealing with memory loss for a week now. What should I do?,Brain tumor
Could body aches be related to lack of exercise?,Fibromyalgia
Could high fever be related to high sugar intake?,Influenza
I've been feeling cough for the past few days. What could be the reason?,Common cold
My legs has been redness. What could be causing this?,Rosacea
I've been dealing with blurred vision for a week now. What should I do?,Diabetes
"Whenever I sitting for long hours, I experience seizures. Is this a medical condition?",Brain injury
"Whenever I climbing stairs, I experience rash. Is this a medical condition?",Chickenpox
"Recently, I noticed high fever, and it's getting worse. Should I be concerned?",Influenza
I've had seizures since last night. Could it be due to lack of sleep?,Epilepsy
Can weakness be a sign of something serious?,Neuropathy
My chest has been dizziness. What could be causing this?,Anemia
Can memory loss be a sign of something serious?,Alzheimers
I've had joint pain since last night. Could it be due to seasonal changes?,Rheumatoid arthritis
I've been feeling swelling for the past few days. What could be the reason?,Blood clot
My arms has been chest pain. What could be causing this?,Heart attack
"Recently, I noticed vomiting, and it's getting worse. Should I be concerned?",Gastroenteritis
I've been feeling weight loss for the past few days. What could be the reason?,Cancer
Can joint pain be a sign of something serious?,Rheumatoid arthritis
My back has been weakness. What could be causing this?,Malnutrition
Is it normal to have joint pain along with weakness?,Rheumatoid arthritis
I've been dealing with stomach cramps for a week now. What should I do?,Gastritis
I've had joint pain since last night. Could it be due to stress?,Arthritis
Experiencing congestion along with mild discomfort. Do I need to see a doctor?,Sinusitis
Is it normal to have blisters along with fatigue?,Herpes
"Whenever I sitting for long hours, I experience stomach cramps. Is this a medical condition?",Menstrual cramps
Experiencing muscle pain along with mild discomfort. Do I need to see a doctor?,Fibromyalgia
Experiencing excessive thirst along with mild discomfort. Do I need to see a doctor?,Hypercalcemia
My arms has been abdominal pain. What could be causing this?,Appendicitis
Is it normal to have wheezing along with fatigue?,Anaphylaxis
Is it normal to have dizziness along with fatigue?,Anemia
Is it normal to have vomiting along with headache?,Migraine
I've been dealing with seizures for a week now. What should I do?,Meningitis
Is it normal to have seizures along with dizziness?,Meningitis
"Whenever I exercising, I experience seizures. Is this a medical condition?",Stroke
I've had itching since last night. Could it be due to stress?,Fungal infections
"Whenever I walking, I experience confusion. Is this a medical condition?",Alzheimers
"Whenever I sitting for long hours, I experience high fever. Is this a medical condition?",Malaria
Experiencing abdominal pain along with mild discomfort. Do I need to see a doctor?,Gallstones
